source,target,value
[ProductBerlin],('English')),1
('English')),sensors.js,1
[ProductBerlin],('English')),1
('English')),sensors.js,1
[ProductBerlin],('AirPressure')),1
('AirPressure')),settings.js,1
[ProductBerlin],('WindSpeed')),1
('WindSpeed')),settings.js,1
[ProductBerlin],('German')),1
('German')),settings.js,1
[ProductBerlin],('AirPressure')),1
('AirPressure')),settings.js,1
[ProductBerlin],('WindSpeed')),1
('WindSpeed')),settings.js,1
[ProductBerlin],('German')),1
('German')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),sensors.js,1
[productDonosti],('Basque')),1
('Basque')),sensors.js,1
[productDonosti],('Heat')),1
('Heat')),settings.js,1
[productDonosti],('German')),1
('German')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Basque')),1
('Basque')),settings.js,1
[productDonosti],('Heat')),1
('Heat')),settings.js,1
[productNewYork],('WindSpeed')),1
('WindSpeed')),settings.js,1
[productNewYork],('WindSpeed')),1
('WindSpeed')),settings.js,1
[productNewYork],('English')),1
('English')),settings.js,1
[productNewYork],('English')),1
('English')),settings.js,1
