Product,Feature,File,Churn
[productBerlin],English,sensors.js,REMOVED
[productBerlin],English,sensors.js,ADDED
[productBerlin],AirPressure,settings.js,REMOVED
[productBerlin],WindSpeed,settings.js,REMOVED
[productBerlin],AirPressure,settings.js,REMOVED
[productBerlin],WindSpeed,settings.js,REMOVED
[productBerlin],German,settings.js,REMOVED
[productBerlin],AirPressure,settings.js,ADDED
[productBerlin],WindSpeed,settings.js,ADDED
[productBerlin],AirPressure,settings.js,ADDED
[productBerlin],WindSpeed,settings.js,ADDED
[productBerlin],German,settings.js,ADDED
